settlement_id,invoice_id,customer,settled_amount,settlement_date,gateway_ref,payment_method
SET1045,INV1045,Atlas Mobility,82535.0,2026-08-17,RZP_PAY_1045,credit_card
SET1046,INV1046,Acme Corp,145200.0,2026-08-18,RZP_PAY_1046,credit_card
SET1047,INV1047,Zenith Tech,193200.0,2026-08-09,RZP_PAY_1047,credit_card
SET1048,INV1048,Apex Retail,168962.5,2026-08-10,RZP_PAY_1048,credit_card
SET1049,INV1049,CloudScale Inc,55500,2026-08-13,RZP_PAY_1049,bank_transfer
SET1050,INV1050,Nexus Logistics,114400,2026-08-14,RZP_PAY_1050,bank_transfer
SET1051,INV1051,SolarWave Ltd,72000,2026-08-15,RZP_PAY_1051,bank_transfer
SET1052,INV1052,Quantum Health,48000,2026-09-17,RZP_PAY_1052,netbanking
SET1053,INV1053,Vertex Digital,112000,2026-09-28,RZP_PAY_1053,netbanking
SET1054,INV1054,Global Freight,78000,2026-10-09,RZP_PAY_1054,netbanking
SET1055,INV1058,Pinnacle Foods,56000,2026-08-14,RZP_PAY_DUP_0_A,upi
SET1056,INV1058,Pinnacle Foods,56000,2026-08-15,RZP_PAY_DUP_0_B,upi
SET1057,INV1059,CyberShield Security,92000,2026-08-15,RZP_PAY_DUP_1_A,upi
SET1058,INV1059,CyberShield Security,92000,2026-08-16,RZP_PAY_DUP_1_B,upi
SET1059,INV1060,Atlas Mobility,145000,2026-08-16,RZP_PAY_DUP_2_A,upi
SET1060,INV1060,Atlas Mobility,145000,2026-08-17,RZP_PAY_DUP_2_B,upi
SET1061,UNKNOWN_ORPHAN,Unknown Enterprise,28500,2026-08-16,RZP_ORPHAN_1061,direct_imps
SET1062,UNKNOWN_ORPHAN,Unregistered Vendor,64000,2026-08-17,RZP_ORPHAN_1062,direct_imps
SET1063,UNKNOWN_ORPHAN,Legacy Account Direct,118000,2026-08-18,RZP_ORPHAN_1063,direct_imps
